id_municipio,numero_obitos,numero_suicidios,populacao
2202406,34,0,9944
2202455,8,0,2503
2202505,27,1,9395
2202539,18,0,5538
2202554,20,0,4136
2202604,73,2,18644
2202653,25,0,5100
2202703,70,1,25181
2202711,20,0,4167
2202729,24,0,5836
2202737,16,0,3153
2202752,18,0,5627
2202778,16,0,7485
2202802,16,1,5506
2202851,15,0,4547
2202901,66,2,24876
2203008,24,1,6885
2203107,40,1,9984
2203206,33,1,10615
2203230,11,0,4503
2203255,15,1,4209
2203271,17,0,3871
2203305,54,0,13966
2203354,17,0,6036
2203404,29,0,6616
2203420,15,0,4292
2203453,32,1,9933
2203503,43,1,15244
2203602,23,0,3909
2203701,102,2,35908
2203750,13,0,4569
2203800,17,1,4019
2203859,9,0,2485
2203909,134,4,56880
2204006,20,0,5212
2204105,17,0,5390
2204154,7,0,2500
2204204,30,0,7039
2204303,29,0,10511
2204352,16,1,5184
2204402,26,1,11175
2204501,24,2,10911
2204550,17,0,4576
2204600,18,0,3755
2204659,29,0,8656
2204709,53,0,15351
2204808,30,0,9095
2204907,32,0,7674
2205003,47,0,10132
2205102,30,0,9858
2205151,20,0,5707
2205201,37,0,17268
2205250,18,0,3916
2205276,15,0,4575
2205300,12,1,4835
2205359,8,1,3182
2205409,41,0,13298
2205458,13,0,4554
2205508,87,2,35376
2205516,22,0,4435
2205524,13,0,5431
2205532,15,0,4153
2205540,8,0,2304
2205557,21,0,7904
2205565,13,0,5088
2205573,17,0,6225
2205581,12,0,4005
2205599,18,0,4596
2205607,19,1,5589
2205706,61,0,25679
2205805,60,1,22888
2205854,23,1,7504
2205904,16,0,4994
2205953,30,0,7200
2206001,18,1,4713
2206050,20,0,6474
2206100,29,0,10629
2206209,75,1,31453
2206308,3,0,1456
2206357,22,0,8083
2206407,33,1,10867
2206506,29,2,7125
2206605,27,0,10809
2206654,6,0,4442
2206670,21,1,7066
2206696,19,0,6462
2206704,31,0,7786
2206753,8,0,4002
2206803,22,0,8054
2206902,28,0,6792
2206951,7,0,2774
2207009,93,3,35218
2207108,13,0,2038
2207207,22,1,7574
2207306,17,0,4088
2207355,12,0,2571
2207405,12,0,5756
2207504,35,0,12828
2207553,11,0,4430
2207603,13,1,9883
2207702,215,3,143675
2207751,20,0,4151
2207777,21,0,5809
2207793,8,0,3226
2207801,50,0,17859
2207850,10,0,3961
2207900,97,2,37580
2207934,7,1,2373
2207959,18,0,4517
2208007,149,3,71825
2208106,34,2,12504
2208205,58,3,16785
2208304,76,2,27621
2208403,151,3,62291
2208502,41,0,11356
2208551,3,0,2383
2208601,15,0,3418
2208650,26,2,8969
2208700,25,2,8445
2208809,37,0,18228
2208858,10,0,4522
2208874,10,0,4041
2208908,20,1,5706
2209005,19,1,6376
2209104,17,0,5640
2209153,11,0,3520
2209203,19,0,6338
2209302,19,0,5018
2209351,14,0,4982
2209377,22,1,5464
2209401,25,1,5214
2209450,6,0,2060
2209500,16,1,3557
2209559,11,0,4470
2209609,11,0,3092
2209658,20,0,4725
2209708,31,0,6120
2209757,7,1,2416
2209807,16,0,4749
2209856,15,1,4102
2209872,14,0,5219
2209906,26,2,6222
2209955,17,0,4484
2209971,21,0,7022
2210003,54,0,18968
2210052,19,1,5528
2210102,10,0,3777
2210201,31,0,6840
2210300,10,0,6041
2210359,15,1,4452
2210375,13,0,2544
2210383,8,0,2064
2210391,12,0,2869
2210409,53,1,18948
2210508,51,1,13242
2210607,62,0,29370
2210623,16,2,4933
2210631,12,0,3903
2210656,24,0,9352
2210706,32,0,13716
2210805,38,1,11416
2210904,21,0,4406
2210938,17,0,5677
2210953,12,0,2231
2210979,18,1,2692
2211001,625,14,801971
2211100,108,1,42417
2211209,52,2,18297
2211308,62,2,21293
2211357,13,0,5957
2211407,13,0,4511
2211506,12,1,2995
2211605,18,1,2962
2211704,13,0,4188
2300101,19,1,8752
2300150,39,0,14949
2300200,129,3,51528
2300309,115,4,45569
2300408,42,2,15363
2300507,37,1,10244
2300606,32,1,6338
2300705,45,3,16713
2300754,82,1,37634
2300804,30,0,7561
2300903,37,0,14775
2301000,112,2,70938
2301109,138,3,68673
2301208,62,1,25214
2301257,36,1,10517
2301307,57,0,21230
2301406,47,3,13675
2301505,31,1,7650
2301604,53,0,21822
2301703,73,0,25736
2301802,21,0,5955
2301851,54,0,17510
2301901,134,2,53388
2301950,57,1,18698
2302008,70,1,20474
2302057,47,0,14654
2302107,102,3,31736
2302206,106,1,46439
2302305,76,2,30126
2302404,129,5,52071
2302503,104,1,42004
2302602,128,2,58710
2302701,66,0,27254
2302800,161,4,75347
2302909,30,1,16373
2303006,58,1,17948
2303105,51,0,19260
2303204,62,2,28996
2303303,57,0,19089
2303402,61,1,16416
2303501,117,2,64256
2303600,38,2,18217
2303659,34,0,9593
2303709,325,4,313584
2303808,86,5,24899
2303907,39,0,13348
2303931,30,0,12909
2303956,48,1,21083
2304004,76,0,21767
2304103,185,4,74036
2304202,213,5,115087
2304236,62,0,16936
2304251,53,1,23908
2304269,34,1,8670
2304277,21,0,6202
2304285,86,2,39697
2304301,60,1,22303
2304350,59,0,19146
2304400,1005,18,2416920
2304459,42,0,13867
2304509,52,3,13405
2304608,22,0,4349
2304657,55,1,15144
2304707,82,2,53645
2304806,17,0,5703
2304905,37,1,9230
2304954,62,0,21600
2305001,95,3,38529
2305100,24,0,6025
2305209,46,0,17530
2305233,101,3,45251
2305266,37,1,13528
2305308,84,2,23728
2305332,38,3,10054
2305357,54,0,17819
2305407,163,7,64040
2305506,175,3,92981
2305605,71,0,26172
2305654,48,1,11541
2305704,46,1,11727
2305803,101,1,40891
2305902,124,2,40525
2306009,55,0,12519
2306108,48,0,21338
2306207,23,0,7228
2306256,92,1,33941
2306306,106,3,46598
2306405,157,3,107012
2306504,53,0,18593
2306553,80,1,33894
2306603,57,2,16789
2306702,56,1,18352
2306801,36,0,9478
2306900,90,1,37032
2307007,88,1,32557
2307106,81,0,28225
2307205,33,0,7562
2307254,39,0,16659
2307304,294,7,240638
2307403,89,1,23764
2307502,70,3,31537
2307601,125,1,55474
2307635,59,0,16493
2307650,231,4,196422
2307700,162,4,100279
2307809,67,0,20222
2307908,31,0,10195
2308005,94,2,33924
2308104,83,2,43978
2308203,46,2,11999
2308302,91,1,31306
2308351,40,0,13994
2308377,30,0,12426
2308401,98,3,35068
2308500,99,4,41497
2308609,61,1,16948
2308708,156,3,68456
2308807,26,1,7618
2308906,63,2,20442
2309003,45,3,15185
2309102,28,0,9677
2309201,46,2,12611
2309300,90,1,29964
2309409,75,1,25505
2309458,62,0,22882
2309508,86,4,22030
2309607,120,2,53139
2309706,89,1,62320
2309805,39,0,11542
2309904,26,1,6131
2310001,31,0,8329
2310100,33,0,9580
2310209,72,1,32418
2310258,68,5,29653
2310308,81,1,33945
2310407,41,0,11357
2310506,101,2,42177
2310605,34,0,7447
2310704,90,3,32857
2310803,67,0,15545
2310852,55,0,17530
2310902,54,0,13156
2310951,32,0,8722
2311009,39,0,12240
2311108,48,4,16124
2311207,36,1,9870
2311231,20,0,5756
2311264,50,1,19569
2311306,156,3,75717
2311355,57,2,15535
2311405,158,2,59244
2311504,61,0,19124
2311603,62,0,26646
2311702,61,2,24121
2311801,136,4,65268
2311900,54,2,16791
2311959,45,0,14871
2312007,54,0,28970
2312106,49,1,17914
2312205,111,2,43781
2312304,116,2,42255
2312403,101,2,40281
2312502,20,1,9117
2312601,47,2,12153
2312700,80,1,27512
2312809,22,1,5923
2312908,265,5,175814
2313005,60,1,17457
2313104,71,1,28570
2313203,74,1,25761
2313252,25,1,8548
2313302,128,5,52398
2313351,37,1,14786
2313401,138,3,68464
2313500,84,1,50575
2313559,36,0,12667
2313609,95,1,29845
2313708,38,2,7094
2313757,49,0,18830
2313807,66,0,18607
2313906,31,0,12410
2313955,54,1,18905
2314003,96,3,37440
2314102,122,1,48799
2400109,39,1,11324
2400208,92,1,51092
2400307,50,1,10966
2400406,13,0,2951
2400505,40,0,13175
2400604,29,0,4823
2400703,24,1,10424
2400802,56,1,11583
2400901,23,1,6161
2401008,55,2,36391
2401107,74,1,23501
2401206,40,0,11458
2401305,40,2,9108
2401404,22,0,8263
2401453,56,1,21473
2401503,11,0,4238
2401602,17,0,4891
2401651,11,1,2775
2401701,36,0,9651
2401800,26,0,12005
2401859,28,0,5898
2401909,11,1,3053
2402006,159,4,61704
2402105,37,0,9092
2402204,67,1,30035
2402303,58,1,17747
2402402,31,0,7294
2402501,26,1,8674
2402600,111,1,70012
2402709,34,1,11070
2402808,17,0,5039
2402907,6,0,4687
2403004,35,0,8333
2403103,114,1,41208
2403202,17,0,6629
2403251,203,3,170055
2403301,18,0,4856
2403400,42,0,5791
2403509,23,0,11154
2403608,56,0,22995
2403707,18,0,5159
2403756,8,0,2545
2403806,27,2,8930
2403905,14,0,2839
2404002,21,1,4534
2404101,10,1,2138
