id_municipio,area_total,area_mata_natural,area_mata_plantada,area_sistema_agroflorestal,area_mata
3202553,18393.0,2243.0,1700.0,41.0,3943.0
3202603,14616.0,1778.0,209.0,0.0,1987.0
3202652,13832.0,1401.0,473.0,24.0,1874.0
3202702,33469.0,6716.0,556.0,88.0,7272.0
3202801,41913.0,6442.0,625.0,12.0,7067.0
3202900,19694.0,5217.0,400.0,0.0,5617.0
3203007,28581.0,4253.0,1292.0,57.0,5545.0
3203056,56239.0,10649.0,3948.0,553.0,14597.0
3203106,13590.0,1293.0,138.0,64.0,1431.0
3203130,16422.0,2612.0,747.0,0.0,3359.0
3203163,33562.0,7176.0,461.0,219.0,7637.0
3203205,231619.0,43954.0,11699.0,1693.0,55653.0
3203304,26369.0,3643.0,1164.0,0.0,4807.0
3203320,8098.0,49.0,31.0,0.0,80.0
3203346,17124.0,5660.0,2793.0,0.0,8453.0
3203353,23178.0,4671.0,1453.0,0.0,6124.0
3203403,70511.0,10377.0,798.0,57.0,11175.0
3203502,111440.0,12591.0,18444.0,0.0,31035.0
3203601,60548.0,2636.0,4126.0,0.0,6762.0
3203700,49334.0,8967.0,3230.0,88.0,12197.0
3203809,23890.0,3214.0,161.0,0.0,3375.0
3203908,87904.0,10339.0,877.0,68.0,11216.0
3204005,56229.0,11353.0,2118.0,0.0,13471.0
3204054,40348.0,5095.0,5531.0,105.0,10626.0
3204104,83851.0,10046.0,9259.0,79.0,19305.0
3204203,4189.0,333.0,150.0,0.0,483.0
3204252,36849.0,3150.0,0.0,0.0,3150.0
3204302,37238.0,2500.0,426.0,0.0,2926.0
3204351,47234.0,7409.0,2789.0,0.0,10198.0
3204401,13763.0,1846.0,370.0,0.0,2216.0
3204500,39844.0,14217.0,1618.0,297.0,15835.0
3204559,50263.0,15384.0,4614.0,424.0,19998.0
3204609,38622.0,10150.0,1700.0,0.0,11850.0
3204658,24001.0,2734.0,1480.0,0.0,4214.0
3204708,35401.0,5596.0,1430.0,0.0,7026.0
3204807,23613.0,2617.0,0.0,789.0,2617.0
3204906,174663.0,26226.0,40443.0,334.0,66669.0
3204955,24064.0,4668.0,759.0,68.0,5427.0
3205002,21425.0,5547.0,2854.0,0.0,8401.0
3205010,29743.0,5632.0,3142.0,26.0,8774.0
3205036,19989.0,4663.0,1393.0,0.0,6056.0
3205069,14072.0,4231.0,1930.0,0.0,6161.0
3205101,24536.0,6450.0,551.0,0.0,7001.0
3205150,30448.0,3144.0,190.0,85.0,3334.0
3205176,37909.0,5802.0,3199.0,0.0,9001.0
3205200,10600.0,1160.0,286.0,0.0,1446.0
3205309,167.0,32.0,0.0,0.0,32.0
3300100,13814.0,9216.0,2.0,30.0,9218.0
3300159,5707.0,579.0,0.0,0.0,579.0
3300209,28308.0,3638.0,390.0,44.0,4028.0
3300225,6139.0,2280.0,21.0,0.0,2301.0
3300233,792.0,36.0,0.0,0.0,36.0
3300258,2.0,0.0,0.0,0.0,0.0
3300308,34575.0,8066.0,626.0,57.0,8692.0
3300407,38547.0,5699.0,515.0,81.0,6214.0
3300456,85.0,0.0,0.0,0.0,0.0
3300506,20274.0,4873.0,474.0,156.0,5347.0
3300605,48851.0,3725.0,63.0,20.0,3788.0
3300704,18577.0,2149.0,0.0,10.0,2149.0
3300803,39370.0,13367.0,263.0,211.0,13630.0
3300902,46746.0,6775.0,0.0,0.0,6775.0
3300936,16244.0,2494.0,45.0,0.0,2539.0
3300951,7105.0,1145.0,0.0,0.0,1145.0
3301009,256318.0,19406.0,425.0,976.0,19831.0
3301108,59312.0,11502.0,366.0,0.0,11868.0
3301157,34217.0,2833.0,0.0,0.0,2833.0
3301207,25517.0,3468.0,108.0,0.0,3576.0
3301306,33594.0,11620.0,274.0,0.0,11894.0
3301405,21932.0,4021.0,119.0,602.0,4140.0
3301504,9800.0,2183.0,98.0,23.0,2281.0
3301603,28159.0,5353.0,2111.0,202.0,7464.0
3301702,5557.0,1320.0,95.0,20.0,1415.0
3301801,5512.0,3168.0,0.0,10.0,3168.0
3301850,17371.0,3460.0,49.0,59.0,3509.0
3301876,1070.0,68.0,0.0,0.0,68.0
3301900,16470.0,2310.0,157.0,81.0,2467.0
3302007,9340.0,2339.0,25.0,32.0,2364.0
3302056,17978.0,1247.0,0.0,118.0,1247.0
3302106,38083.0,4540.0,432.0,113.0,4972.0
3302205,88898.0,9816.0,124.0,29.0,9940.0
3302254,6231.0,805.0,0.0,222.0,805.0
3302270,1840.0,162.0,0.0,0.0,162.0
3302304,14765.0,1686.0,126.0,0.0,1812.0
3302403,71198.0,21396.0,158.0,0.0,21554.0
3302452,6914.0,1777.0,0.0,0.0,1777.0
3302502,11795.0,1589.0,189.0,278.0,1778.0
3302601,9451.0,4283.0,0.0,0.0,4283.0
3302700,10369.0,4377.0,0.0,72.0,4377.0
3302809,3693.0,1308.0,0.0,192.0,1308.0
3302858,137.0,31.0,0.0,0.0,31.0
3302908,18289.0,3687.0,932.0,0.0,4619.0
3303005,26724.0,4233.0,539.0,633.0,4772.0
3303104,29640.0,3874.0,214.0,315.0,4088.0
3303302,654.0,71.0,0.0,0.0,71.0
3303401,23199.0,10062.0,1002.0,280.0,11064.0
3303500,3580.0,511.0,7.0,0.0,518.0
3303609,6066.0,2098.0,0.0,0.0,2098.0
3303708,36440.0,9058.0,145.0,1376.0,9203.0
3303807,30486.0,14343.0,0.0,10734.0,14343.0
3303856,20051.0,3340.0,1294.0,0.0,4634.0
3303906,21246.0,6686.0,0.0,589.0,6686.0
3303955,5546.0,1735.0,0.0,23.0,1735.0
3304003,29557.0,7222.0,393.0,1487.0,7615.0
3304102,25143.0,3621.0,23.0,0.0,3644.0
3304110,2521.0,375.0,0.0,0.0,375.0
3304128,23742.0,4060.0,9.0,0.0,4069.0
3304144,827.0,85.0,0.0,0.0,85.0
3304151,23150.0,2583.0,32.0,0.0,2615.0
3304201,52642.0,7719.0,2729.0,1301.0,10448.0
3304300,28934.0,7923.0,666.0,0.0,8589.0
3304409,54517.0,23362.0,1262.0,0.0,24624.0
3304508,38335.0,6159.0,157.0,637.0,6316.0
3304524,13525.0,2998.0,0.0,0.0,2998.0
3304557,7157.0,1341.0,25.0,94.0,1366.0
3304607,52067.0,12014.0,1486.0,0.0,13500.0
3304706,41828.0,4182.0,0.0,55.0,4182.0
3304755,65839.0,1348.0,703.0,134.0,2051.0
3304805,70104.0,8350.0,127.0,820.0,8477.0
3304904,5864.0,2183.0,7.0,36.0,2190.0
3305000,6390.0,218.0,13.0,0.0,231.0
3305109,0.0,0.0,0.0,0.0,0.0
3305133,18373.0,1602.0,0.0,239.0,1602.0
3305158,14589.0,6287.0,390.0,627.0,6677.0
3305208,12972.0,972.0,0.0,0.0,972.0
3305307,32899.0,4753.0,0.0,87.0,4753.0
3305406,36946.0,4802.0,0.0,5297.0,4802.0
3305505,9162.0,2349.0,10.0,70.0,2359.0
3305554,9302.0,828.0,572.0,153.0,1400.0
3305604,61440.0,20917.0,793.0,0.0,21710.0
3305703,29938.0,7667.0,271.0,38.0,7938.0
3305752,9944.0,2375.0,0.0,27.0,2375.0
3305802,16601.0,5704.0,365.0,269.0,6069.0
3305901,46369.0,13656.0,551.0,171.0,14207.0
3306008,23257.0,6183.0,100.0,126.0,6283.0
3306107,92017.0,18019.0,464.0,4303.0,18483.0
3306156,13566.0,2042.0,215.0,25.0,2257.0
3306206,43777.0,8923.0,107.0,146.0,9030.0
3306305,9503.0,2503.0,509.0,87.0,3012.0
3500105,37276.0,820.0,138.0,35.0,958.0
3500204,14304.0,1358.0,0.0,0.0,1358.0
3500303,35723.0,3543.0,1570.0,0.0,5113.0
3500402,7826.0,1715.0,545.0,0.0,2260.0
3500501,1960.0,193.0,33.0,0.0,226.0
3500550,32011.0,6947.0,3368.0,0.0,10315.0
3500709,75677.0,12359.0,26831.0,0.0,39190.0
3500758,14587.0,2473.0,2880.0,0.0,5353.0
3500808,8047.0,305.0,49.0,7.0,354.0
3500907,27783.0,4538.0,99.0,0.0,4637.0
3501004,83453.0,16450.0,15783.0,0.0,32233.0
3501103,22620.0,1284.0,57.0,0.0,1341.0
3501152,3241.0,1289.0,0.0,0.0,1289.0
3501202,29370.0,1415.0,3.0,4.0,1418.0
3501301,23806.0,1762.0,140.0,55.0,1902.0
3501400,13453.0,3416.0,968.0,0.0,4384.0
3501509,6609.0,1585.0,583.0,0.0,2168.0
3501608,2390.0,0.0,0.0,0.0,0.0
3501707,12527.0,1183.0,0.0,0.0,1183.0
3501806,23112.0,193.0,0.0,0.0,193.0
3501905,32526.0,5908.0,3918.0,212.0,9826.0
3502002,23619.0,5141.0,2180.0,225.0,7321.0
3502101,65400.0,2380.0,462.0,22.0,2842.0
3502200,85119.0,12528.0,23171.0,1448.0,35699.0
3502309,44789.0,7047.0,9752.0,439.0,16799.0
3502408,24201.0,3330.0,64.0,0.0,3394.0
3502507,6335.0,1358.0,288.0,0.0,1646.0
3502606,14758.0,488.0,91.0,0.0,579.0
3502705,33121.0,13595.0,9461.0,1661.0,23056.0
3502754,372.0,7.0,0.0,0.0,7.0
3502804,74254.0,5043.0,113.0,67.0,5156.0
3502903,11833.0,1818.0,242.0,0.0,2060.0
3503000,17056.0,358.0,21.0,0.0,379.0
3503109,18203.0,2294.0,715.0,0.0,3009.0
3503158,8395.0,1723.0,0.0,0.0,1723.0
3503208,55884.0,3768.0,7342.0,106.0,11110.0
3503307,50483.0,5262.0,109.0,16.0,5371.0
3503356,24599.0,1624.0,25.0,0.0,1649.0
3503406,41926.0,2763.0,475.0,62.0,3238.0
3503505,16932.0,4464.0,1952.0,0.0,6416.0
3503604,6595.0,510.0,93.0,0.0,603.0
3503703,12621.0,278.0,10.0,0.0,288.0
3503802,10442.0,583.0,539.0,16.0,1122.0
3503901,473.0,88.0,10.0,0.0,98.0
3503950,7101.0,332.0,11.0,0.0,343.0
3504008,28580.0,1602.0,333.0,111.0,1935.0
3504107,12043.0,2412.0,410.0,0.0,2822.0
3504206,33857.0,3185.0,0.0,133.0,3185.0
3504305,42412.0,5787.0,7852.0,0.0,13639.0
3504404,35858.0,6564.0,76.0,41.0,6640.0
3504503,99611.0,13122.0,13635.0,346.0,26757.0
3504602,7640.0,497.0,28.0,0.0,525.0
3504701,7245.0,272.0,230.0,0.0,502.0
3504800,12205.0,746.0,61.0,16.0,807.0
3504909,18523.0,4740.0,0.0,17.0,4740.0
3505005,7462.0,651.0,736.0,0.0,1387.0
3505104,9604.0,387.0,277.0,104.0,664.0
3505203,35861.0,1455.0,322.0,0.0,1777.0
3505302,9684.0,199.0,0.0,0.0,199.0
3505351,18902.0,5436.0,8587.0,316.0,14023.0
3505401,49606.0,24225.0,161.0,238.0,24386.0
3505500,135743.0,9103.0,87.0,338.0,9190.0
3505609,11095.0,851.0,0.0,0.0,851.0
3505807,12913.0,433.0,61.0,778.0,494.0
3505906,65138.0,6277.0,262.0,531.0,6539.0
3506003,40587.0,6289.0,6249.0,322.0,12538.0
3506102,61237.0,4760.0,46.0,80.0,4806.0
3506201,23543.0,1333.0,0.0,0.0,1333.0
3506300,16727.0,1835.0,572.0,0.0,2407.0
3506359,0.0,0.0,0.0,0.0,0.0
3506409,12892.0,535.0,71.0,5.0,606.0
3506508,44323.0,2077.0,330.0,142.0,2407.0
3506607,8995.0,2621.0,2104.0,0.0,4725.0
3506706,62742.0,6406.0,5912.0,0.0,12318.0
3506805,29898.0,3613.0,932.0,0.0,4545.0
3506904,38210.0,9733.0,8604.0,166.0,18337.0
3507001,11271.0,576.0,240.0,0.0,816.0
3507100,1606.0,377.0,194.0,0.0,571.0
3507159,7125.0,2416.0,2926.0,101.0,5342.0
3507209,7640.0,1010.0,0.0,0.0,1010.0
3507308,8061.0,492.0,12.0,0.0,504.0
3507407,43833.0,1523.0,63.0,0.0,1586.0
3507456,25619.0,4652.0,13367.0,89.0,18019.0
3507506,96106.0,16937.0,23597.0,0.0,40534.0
3507605,23361.0,3310.0,2685.0,112.0,5995.0
3507704,15252.0,277.0,0.0,0.0,277.0
3507753,9250.0,470.0,0.0,0.0,470.0
3507803,18841.0,2393.0,0.0,76.0,2393.0
3507902,91715.0,12758.0,14872.0,169.0,27630.0
3508009,95039.0,19709.0,29888.0,0.0,49597.0
3508108,22537.0,432.0,0.0,53.0,432.0
3508207,22098.0,2295.0,0.0,0.0,2295.0
3508306,13751.0,2476.0,2859.0,0.0,5335.0
3508405,9744.0,3731.0,642.0,10.0,4373.0
3508504,15035.0,3060.0,2209.0,0.0,5269.0
3508603,18445.0,2669.0,837.0,0.0,3506.0
3508702,32746.0,3800.0,947.0,203.0,4747.0
3508801,72908.0,5000.0,1433.0,182.0,6433.0
3508900,12904.0,780.0,0.0,12.0,780.0
3509007,3706.0,1234.0,0.0,0.0,1234.0
3509106,50996.0,2735.0,337.0,0.0,3072.0
3509205,559.0,81.0,2.0,0.0,83.0
3509254,19656.0,5280.0,653.0,0.0,5933.0
3509304,17155.0,1427.0,26.0,0.0,1453.0
3509403,56398.0,10114.0,748.0,316.0,10862.0
3509452,14588.0,1737.0,1814.0,261.0,3551.0
3509502,37444.0,4376.0,1411.0,466.0,5787.0
3509601,368.0,46.0,0.0,0.0,46.0
3509700,1364.0,806.0,0.0,0.0,806.0
3509809,33018.0,4586.0,28.0,0.0,4614.0
3509908,30480.0,25169.0,450.0,0.0,25619.0
3509957,2679.0,502.0,429.0,0.0,931.0
3510005,39481.0,1386.0,217.0,16.0,1603.0
3510104,5898.0,257.0,0.0,3.0,257.0
3510153,6143.0,422.0,0.0,0.0,422.0
3510203,104229.0,22981.0,30211.0,3257.0,53192.0
3510302,7177.0,990.0,106.0,0.0,1096.0
3510401,19463.0,728.0,174.0,9.0,902.0
3510500,7007.0,1613.0,0.0,0.0,1613.0
3510708,40491.0,6758.0,107.0,78.0,6865.0
3510807,70107.0,8351.0,3896.0,0.0,12247.0
3510906,13871.0,2521.0,0.0,0.0,2521.0
3511003,68071.0,3232.0,0.0,175.0,3232.0
3511102,21100.0,467.0,40.0,35.0,507.0
3511201,9802.0,334.0,0.0,0.0,334.0
3511300,18390.0,770.0,134.0,0.0,904.0
3511409,40462.0,4423.0,3013.0,0.0,7436.0
3511508,7593.0,384.0,40.0,25.0,424.0
3511607,10121.0,777.0,5.0,0.0,782.0
3511706,11267.0,885.0,263.0,0.0,1148.0
3511904,16180.0,386.0,0.0,0.0,386.0
3512001,38503.0,2725.0,96.0,0.0,2821.0
3512100,64576.0,4124.0,1504.0,302.0,5628.0
3512209,14627.0,1345.0,0.0,0.0,1345.0
3512308,21994.0,1685.0,762.0,0.0,2447.0
3512407,7819.0,780.0,0.0,0.0,780.0
3512506,23569.0,1001.0,114.0,0.0,1115.0
3512605,24257.0,2690.0,2382.0,0.0,5072.0
3512704,20654.0,2990.0,2088.0,442.0,5078.0
3512803,9066.0,585.0,0.0,0.0,585.0
3512902,31633.0,2175.0,268.0,0.0,2443.0
3513009,1836.0,472.0,0.0,0.0,472.0
3513108,32514.0,2699.0,93.0,94.0,2792.0
